Unnamed: 0,position,city,specific_position,company_name,company_size,company_type,salary,education,ability,experience,min_annual_salary,max_annual_salary
333,java,上海·浦东·唐镇,高级java工程师,上海汉朔信息科技有限公司,1000-9999人,民营,1.3万-1.8万,本科,无要求,5-10年,156000.0,216000.0
334,java,上海·徐汇·龙华,上海java后端开发工程师,郑州乐驰软件科技有限公司,20-99人,民营,1.7万-2.1万,大专,无要求,5-10年,204000.0,252000.0
335,java,上海·黄浦·外滩,java开发工程师,其他,10000人以上,民营,1.1万-1.5万,大专,无要求,3-5年,132000.0,180000.0
336,java,上海·黄浦·南京东路,java,株式会社レッツ·ビジネスブレーン,20-99人,外商独资,1.5万-3万,大专,PHP Java C#/.NET jQuery CSS JavaScript,3-5年,180000.0,360000.0
337,java,上海·浦东·花木,java,其他,1000-9999人,股份制企业,2万-2.5万,本科,交易系统 券商,3-5年,240000.0,300000.0
338,java,上海·黄浦·南京东路,中级java开发,厦门至恒融兴信息技术股份有限公司福州分公司,计算机软件,100-299人,1.1万-1.5万,本科,无要求,3-5年,132000.0,180000.0
339,java,上海·黄浦·淮海中路,Java工程师,其他,1000-9999人,上市公司,1.2万-2万,本科,JavaScript Spring Hibernate Mybatis MySQL Oracle Redis,3-5年,144000.0,240000.0
340,java,上海·浦东·金桥,java,外企德科数字技术有限公司,人力资源服务,10000人以上,1.7万-3万,本科,无要求,经验不限,204000.0,360000.0
341,java,上海·浦东·花木,java,德科信息有限公司,1000-9999人,民营,1.5万-2.1万,本科,JavaScript Spring Ehcache MySQL,3-5年,180000.0,252000.0
342,java,上海·虹口·曲阳路,java自动化测试工程师,其他,10000人以上,民营,1.5万-2.3万,本科,无要求,5-10年,180000.0,276000.0
343,java,上海·浦东·张江,Java开发工程师（英语口语流利）,北京宜通华瑞科技有限公司,1000-9999人,民营,1.7万-2.4万,本科,无要求,3-5年,204000.0,288000.0
344,java,上海·浦东·唐镇,java,德科信息有限公司,1000-9999人,民营,1.2万-1.4万,本科,无要求,3-5年,144000.0,168000.0
346,java,上海·浦东·金桥,java,外企德科数字技术有限公司,人力资源服务,10000人以上,1.4万-2.8万,本科,无要求,1-3年,168000.0,336000.0
347,java,上海·静安·彭浦,java,其他,1000-9999人,股份制企业,1万-2万·13薪,本科,Java MySQL Spring 后端开发,3-5年,130000.0,260000.0
348,java,上海·浦东·唐镇,Java架构师 低代码 paas,其他,10000人以上,上市公司,2万-3万,本科,Java 微服务架构 低代码开发 Paas,5-10年,240000.0,360000.0
349,java,上海·普陀·长风新村,对日Java开发,上海朗裕信息科技有限公司,20-99人,民营,9千-1.2万·13薪,大专,无要求,5-10年,117000.0,156000.0
350,java,上海·徐汇·徐家汇,plm客开工程师,其他,10000人以上,上市公司,8千-1.5万,本科,JavaScript,3-5年,96000.0,180000.0
352,java,上海·浦东·南汇新城,软件工程师（后端）,上海海洋工程装备制造业创新中心有限公司,100-299人,股份制企业,2万-4万,本科,JavaScript Mybatis Redis,3-5年,240000.0,480000.0
353,java,上海·嘉定·江桥,中级研发工程师（JAVA）,其他,10000人以上,上市公司,2.5万-5万,本科,C端开发 JAVA开发经验,3-5年,300000.0,600000.0
354,java,上海·浦东·高东,Java开发工程师,其他,500-999人,上市公司,1.5万-2.2万·13薪,本科,Spring 后端开发 微服务架构 SpringBoot SpringCloud Mybatis SpringMVC PHP,3-5年,195000.0,286000.0
355,java,上海·徐汇·徐家汇,java,上海微澜软件技术有限公司,100-299人,民营,1.7万-2万,本科,开源大模型 闭源大语言,1-3年,204000.0,240000.0
356,java,上海·南京东路,赴日软件工程师,阳光软件株式会社,100-299人,其它,1.5万-3万,大专,SpringBoot SpringCloud SpringMVC 全栈开发 后端开发 Spring,3-5年,180000.0,360000.0
357,java,上海·南京东路,赴日软件工程师（大学毕业生）,株式会社ProfaceSystems,20-99人,外商独资,1.5万-2.5万,本科,.NET C++ Java Python SQL 小程序开发,无经验,180000.0,300000.0
358,java,上海·浦东·张江,Java开发工程师（系统平台）,上海视畅信息科技有限公司,20-99人,民营,1.2万-1.8万,本科,Java Hibernate Dubbo JSP 搜索引擎技术 流媒体技术 中级软件工程师,1-3年,144000.0,216000.0
359,java,上海·浦东·张江,java,北京永生鼎立信息技术有限公司,100-299人,合资,1.5万-2.6万,大专,Java Vue jQuery SPRINGBOOT,5-10年,180000.0,312000.0
360,java,上海·浦东·金桥,java,外企德科数字技术有限公司,人力资源服务,10000人以上,1.2万-2.4万·14薪,本科,无要求,经验不限,168000.0,336000.0
361,java,上海·长宁·新华路,高级java工程师,上海甲参科技有限公司,20-99人,其它,1.5万-2万,本科,无要求,5-10年,180000.0,240000.0
362,java,上海·杨浦·新江湾城,Java开发（第三方支付经验）,上海睿沃信息科技有限公司,20-99人,民营,2万-2.5万·13薪,大专,JavaScript 第三方支付,5-10年,260000.0,325000.0
363,java,上海·闵行·新虹,Java开发工程师,上海西信软件工程有限公司,100-299人,民营,1.5万-1.8万,大专,无要求,5-10年,180000.0,216000.0
364,java,上海·杨浦·新江湾城,高级java工程师,其他,10000人以上,外商独资,2万-2.5万·13薪,本科,无要求,5-10年,260000.0,325000.0
365,java,上海·浦东·张江,java,上海艾杰飞人才管理咨询有限公司,100-299人,外商独资,9千-1.3万,本科,C++ Java C# CSS,无经验,108000.0,156000.0
