Unnamed: 0,position,city,specific_position,company_name,company_type,education,ability,experience,min_annual_salary,max_annual_salary,min_company_size,max_company_size
57,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,Python C++ Java,经验不限,225000.0,450000.0,10000.0,
58,python,上海·浦江,生信助理工程师,上海英拜生物科技有限公司,民营,本科,C# R语言 Java C语言 Python SQL Perl 甲基化组学,经验不限,96000.0,192000.0,20.0,99.0
59,python,上海·浦东·金桥,研发（java/JS/Python/C/C++/Go/测试）,外企德科,合资,本科,Java Python JavaScript,经验不限,180000.0,360000.0,1000.0,9999.0
61,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,Python Java C++,经验不限,210000.0,350000.0,10000.0,
62,python,上海·浦东·洋泾,Python开发工程师,大连弗斯特高新人才发展管理有限公司,民营,大专,Python 英语 MATLAB C Shell,3-5年,350000.0,560000.0,100.0,299.0
63,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,经验不限,225000.0,450000.0,1000.0,9999.0
64,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,Python C++ C,经验不限,210000.0,420000.0,10000.0,
65,python,上海·浦东·金桥,python,其他,民营,大专,无要求,经验不限,132000.0,180000.0,10000.0,
66,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,经验不限,210000.0,420000.0,1000.0,9999.0
67,python,上海·青浦·金泽,python,外企德科数字技术有限公司,,本科,无要求,经验不限,210000.0,280000.0,10000.0,
68,python,上海,日语Java/Python开发工程师,ユニークシステム株式会社,外商独资,本科,Java 高级软件工程师,经验不限,216000.0,360000.0,20.0,99.0
69,python,上海·浦东·金桥,软件测试（python）-旗舰手机PDU,其他,民营,本科,无要求,1-3年,108000.0,180000.0,10000.0,
70,python,上海·青浦·金泽,python,外企德科数字技术有限公司,,本科,无要求,经验不限,224000.0,420000.0,10000.0,
71,python,上海·浦东·金桥,python,外企德科,合资,本科,Java 算法基础 数据结构 分布式技术,经验不限,225000.0,450000.0,1000.0,9999.0
72,python,上海·浦东·金桥,开发（python）-通信协议技术部,其他,民营,本科,无要求,1-3年,108000.0,180000.0,10000.0,
73,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,224000.0,420000.0,10000.0,
74,python,上海·黄浦·打浦桥,微软云开发工程师,凯捷中国,外商独资,本科,Python,无经验,78000.0,91000.0,10000.0,
75,python,上海·浦东·金桥,软件测试（咪咕视讯、早九晚六）,其他,民营,大专,无要求,3-5年,96000.0,120000.0,10000.0,
76,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,无经验,240000.0,480000.0,10000.0,
77,python,上海·浦东·花木,python编程讲师,其他,民营,本科,无要求,经验不限,120000.0,240000.0,100.0,299.0
78,python,上海·浦东·金桥,python开发工程师,其他,民营,大专,无要求,3-5年,156000.0,180000.0,10000.0,
79,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,JavaScript Python C++,经验不限,180000.0,360000.0,10000.0,
80,python,上海·闵行·浦江,python,河南浮源端科技有限公司,民营,学历不限,无要求,3-5年,360000.0,600000.0,,20.0
81,python,上海·浦东·金桥,python,其他,民营,大专,无要求,经验不限,132000.0,180000.0,10000.0,
82,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,无要求,经验不限,240000.0,480000.0,10000.0,
83,python,上海,python,其他,国企,本科,无要求,无经验,120000.0,180000.0,10000.0,
84,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,经验不限,240000.0,480000.0,1000.0,9999.0
85,python,上海·青浦·金泽,python,外企德科数字技术有限公司,,本科,无要求,经验不限,180000.0,360000.0,10000.0,
86,python,上海·浦东·金桥,python,其他,民营,大专,无要求,经验不限,132000.0,180000.0,10000.0,
87,python,上海·浦东·金桥,python,外企德科,合资,本科,无要求,经验不限,210000.0,420000.0,1000.0,9999.0
88,python,上海·浦东·金桥,python,外企德科数字技术有限公司,,本科,Python C++,经验不限,180000.0,360000.0,10000.0,
